code,name,description
A179,"Tuberculosis of nervous system, unspecified","A medical condition known as tuberculosis of nervous system, unspecified."
A1801,Tuberculosis of spine,A medical condition known as tuberculosis of spine.
A1802,Tuberculous arthritis of other joints,A medical condition known as tuberculous arthritis of other joints.
A1803,Tuberculosis of other bones,A medical condition known as tuberculosis of other bones.
A1809,Other musculoskeletal tuberculosis,A medical condition known as other musculoskeletal tuberculosis.
A1810,"Tuberculosis of genitourinary system, unspecified","A medical condition known as tuberculosis of genitourinary system, unspecified."
A1811,Tuberculosis of kidney and ureter,A medical condition known as tuberculosis of kidney and ureter.
A1812,Tuberculosis of bladder,A medical condition known as tuberculosis of bladder.
A1813,Tuberculosis of other urinary organs,A medical condition known as tuberculosis of other urinary organs.
A1814,Tuberculosis of prostate,A medical condition known as tuberculosis of prostate.
A1815,Tuberculosis of other male genital organs,A medical condition known as tuberculosis of other male genital organs.
A1816,Tuberculosis of cervix,A medical condition known as tuberculosis of cervix.
A1817,Tuberculous female pelvic inflammatory disease,A medical condition known as tuberculous female pelvic inflammatory disease.
A1818,Tuberculosis of other female genital organs,A medical condition known as tuberculosis of other female genital organs.
A182,Tuberculous peripheral lymphadenopathy,A medical condition known as tuberculous peripheral lymphadenopathy.
A1831,Tuberculous peritonitis,A medical condition known as tuberculous peritonitis.
A1832,Tuberculous enteritis,A medical condition known as tuberculous enteritis.
A1839,Retroperitoneal tuberculosis,A medical condition known as retroperitoneal tuberculosis.
A184,Tuberculosis of skin and subcutaneous tissue,A medical condition known as tuberculosis of skin and subcutaneous tissue.
A1850,"Tuberculosis of eye, unspecified","A medical condition known as tuberculosis of eye, unspecified."
A1851,Tuberculous episcleritis,A medical condition known as tuberculous episcleritis.
A1852,Tuberculous keratitis,A medical condition known as tuberculous keratitis.
A1859,Other tuberculosis of eye,A medical condition known as other tuberculosis of eye.
A186,Tuberculosis of (inner) (middle) ear,A medical condition known as tuberculosis of (inner) (middle) ear.
A187,Tuberculosis of adrenal glands,A medical condition known as tuberculosis of adrenal glands.
A1881,Tuberculosis of thyroid gland,A medical condition known as tuberculosis of thyroid gland.
A1882,Tuberculosis of other endocrine glands,A medical condition known as tuberculosis of other endocrine glands.
A1883,"Tuberculosis of digestive tract organs, not elsewhere classifie","A medical condition known as tuberculosis of digestive tract organs, not elsewhere classifie."
A1884,Tuberculosis of heart,A medical condition known as tuberculosis of heart.
A1885,Tuberculosis of spleen,A medical condition known as tuberculosis of spleen.
A1889,Tuberculosis of other sites,A medical condition known as tuberculosis of other sites.
A190,Acute miliary tuberculosis of a single specified site,A medical condition known as acute miliary tuberculosis of a single specified site.
A191,Acute miliary tuberculosis of multiple sites,A medical condition known as acute miliary tuberculosis of multiple sites.
A192,"Acute miliary tuberculosis, unspecified","A medical condition known as acute miliary tuberculosis, unspecified."
A198,Other miliary tuberculosis,A medical condition known as other miliary tuberculosis.
A199,"Miliary tuberculosis, unspecified","A medical condition known as miliary tuberculosis, unspecified."
A200,Bubonic plague,A medical condition known as bubonic plague.
A201,Cellulocutaneous plague,A medical condition known as cellulocutaneous plague.
A202,Pneumonic plague,A medical condition known as pneumonic plague.
A203,Plague meningitis,A medical condition known as plague meningitis.
A207,Septicemic plague,A medical condition known as septicemic plague.
A208,Other forms of plague,A medical condition known as other forms of plague.
A209,"Plague, unspecified","A medical condition known as plague, unspecified."
A210,Ulceroglandular tularemia,A medical condition known as ulceroglandular tularemia.
A211,Oculoglandular tularemia,A medical condition known as oculoglandular tularemia.
A212,Pulmonary tularemia,A medical condition known as pulmonary tularemia.
A213,Gastrointestinal tularemia,A medical condition known as gastrointestinal tularemia.
A217,Generalized tularemia,A medical condition known as generalized tularemia.
A218,Other forms of tularemia,A medical condition known as other forms of tularemia.
A221,Pulmonary anthrax,A medical condition known as pulmonary anthrax.
A222,Gastrointestinal anthrax,A medical condition known as gastrointestinal anthrax.
A227,Anthrax sepsis,A medical condition known as anthrax sepsis.
A228,Other forms of anthrax,A medical condition known as other forms of anthrax.
A229,"Anthrax, unspecified","A medical condition known as anthrax, unspecified."
A230,Brucellosis due to Brucella melitensis,A medical condition known as brucellosis due to brucella melitensis.
A231,Brucellosis due to Brucella abortus,A medical condition known as brucellosis due to brucella abortus.
A232,Brucellosis due to Brucella suis,A medical condition known as brucellosis due to brucella suis.
A233,Brucellosis due to Brucella canis,A medical condition known as brucellosis due to brucella canis.
A238,Other brucellosis,A medical condition known as other brucellosis.
A239,"Brucellosis, unspecified","A medical condition known as brucellosis, unspecified."
A240,Glanders,A medical condition known as glanders.
A241,Acute and fulminating melioidosis,A medical condition known as acute and fulminating melioidosis.
A242,Subacute and chronic melioidosis,A medical condition known as subacute and chronic melioidosis.
A243,Other melioidosis,A medical condition known as other melioidosis.
A249,"Melioidosis, unspecified","A medical condition known as melioidosis, unspecified."
A250,Spirillosis,A medical condition known as spirillosis.
A251,Streptobacillosis,A medical condition known as streptobacillosis.
A259,"Rat-bite fever, unspecified","A medical condition known as rat-bite fever, unspecified."
A260,Cutaneous erysipeloid,A medical condition known as cutaneous erysipeloid.
A267,Erysipelothrix sepsis,A medical condition known as erysipelothrix sepsis.
A268,Other forms of erysipeloid,A medical condition known as other forms of erysipeloid.
A269,"Erysipeloid, unspecified","A medical condition known as erysipeloid, unspecified."
A270,Leptospirosis icterohemorrhagica,A medical condition known as leptospirosis icterohemorrhagica.
A2781,Aseptic meningitis in leptospirosis,A medical condition known as aseptic meningitis in leptospirosis.
A2789,Other forms of leptospirosis,A medical condition known as other forms of leptospirosis.
A279,"Leptospirosis, unspecified","A medical condition known as leptospirosis, unspecified."
A282,Extraintestinal yersiniosis,A medical condition known as extraintestinal yersiniosis.
A288,"Other specified zoonotic bacterial diseases, not elsewhere clas","A medical condition known as other specified zoonotic bacterial diseases, not elsewhere clas."
A289,"Zoonotic bacterial disease, unspecified","A medical condition known as zoonotic bacterial disease, unspecified."
A300,Indeterminate leprosy,A medical condition known as indeterminate leprosy.
A301,Tuberculoid leprosy,A medical condition known as tuberculoid leprosy.
A302,Borderline tuberculoid leprosy,A medical condition known as borderline tuberculoid leprosy.
A303,Borderline leprosy,A medical condition known as borderline leprosy.
A304,Borderline lepromatous leprosy,A medical condition known as borderline lepromatous leprosy.
A305,Lepromatous leprosy,A medical condition known as lepromatous leprosy.
A308,Other forms of leprosy,A medical condition known as other forms of leprosy.
A309,"Leprosy, unspecified","A medical condition known as leprosy, unspecified."
A310,Pulmonary mycobacterial infection,A medical condition known as pulmonary mycobacterial infection.
A311,Cutaneous mycobacterial infection,A medical condition known as cutaneous mycobacterial infection.
A312,Disseminated mycobacterium avium-intracellulare complex (D,A medical condition known as disseminated mycobacterium avium-intracellulare complex (d.
A318,Other mycobacterial infections,A medical condition known as other mycobacterial infections.
A319,"Mycobacterial infection, unspecified","A medical condition known as mycobacterial infection, unspecified."
A320,Cutaneous listeriosis,A medical condition known as cutaneous listeriosis.
A3211,Listerial meningitis,A medical condition known as listerial meningitis.
A3212,Listerial meningoencephalitis,A medical condition known as listerial meningoencephalitis.
A327,Listerial sepsis,A medical condition known as listerial sepsis.
A3281,Oculoglandular listeriosis,A medical condition known as oculoglandular listeriosis.
A3282,Listerial endocarditis,A medical condition known as listerial endocarditis.
A3289,Other forms of listeriosis,A medical condition known as other forms of listeriosis.
A329,"Listeriosis, unspecified","A medical condition known as listeriosis, unspecified."
A33,Tetanus neonatorum,A medical condition known as tetanus neonatorum.
A34,Obstetrical tetanus,A medical condition known as obstetrical tetanus.
A35,Other tetanus,A medical condition known as other tetanus.
A362,Laryngeal diphtheria,A medical condition known as laryngeal diphtheria.
A363,Cutaneous diphtheria,A medical condition known as cutaneous diphtheria.
A3681,Diphtheritic cardiomyopathy,A medical condition known as diphtheritic cardiomyopathy.
A3682,Diphtheritic radiculomyelitis,A medical condition known as diphtheritic radiculomyelitis.
A3683,Diphtheritic polyneuritis,A medical condition known as diphtheritic polyneuritis.
A3684,Diphtheritic tubulo-interstitial nephropathy,A medical condition known as diphtheritic tubulo-interstitial nephropathy.
A3685,Diphtheritic cystitis,A medical condition known as diphtheritic cystitis.
A3686,Diphtheritic conjunctivitis,A medical condition known as diphtheritic conjunctivitis.
A3689,Other diphtheritic complications,A medical condition known as other diphtheritic complications.
A369,"Diphtheria, unspecified","A medical condition known as diphtheria, unspecified."
A3700,Whooping cough due to Bordetella pertussis without pneumo,A medical condition known as whooping cough due to bordetella pertussis without pneumo.
A3701,Whooping cough due to Bordetella pertussis with pneumonia,A medical condition known as whooping cough due to bordetella pertussis with pneumonia.
A3710,Whooping cough due to Bordetella parapertussis without pne,A medical condition known as whooping cough due to bordetella parapertussis without pne.
A3711,Whooping cough due to Bordetella parapertussis with pneum,A medical condition known as whooping cough due to bordetella parapertussis with pneum.
A3780,Whooping cough due to other Bordetella species without pne,A medical condition known as whooping cough due to other bordetella species without pne.
A3781,Whooping cough due to other Bordetella species with pneum,A medical condition known as whooping cough due to other bordetella species with pneum.
A3790,"Whooping cough, unspecified species without pneumonia","A medical condition known as whooping cough, unspecified species without pneumonia."
A3791,"Whooping cough, unspecified species with pneumonia","A medical condition known as whooping cough, unspecified species with pneumonia."
A380,Scarlet fever with otitis media,A medical condition known as scarlet fever with otitis media.
A381,Scarlet fever with myocarditis,A medical condition known as scarlet fever with myocarditis.
A388,Scarlet fever with other complications,A medical condition known as scarlet fever with other complications.
A389,"Scarlet fever, uncomplicated","A medical condition known as scarlet fever, uncomplicated."
A390,Meningococcal meningitis,A medical condition known as meningococcal meningitis.
A391,Waterhouse-Friderichsen syndrome,A medical condition known as waterhouse-friderichsen syndrome.
A392,Acute meningococcemia,A medical condition known as acute meningococcemia.
A393,Chronic meningococcemia,A medical condition known as chronic meningococcemia.
A394,"Meningococcemia, unspecified","A medical condition known as meningococcemia, unspecified."
A3952,Meningococcal myocarditis,A medical condition known as meningococcal myocarditis.
A3953,Meningococcal pericarditis,A medical condition known as meningococcal pericarditis.
A3981,Meningococcal encephalitis,A medical condition known as meningococcal encephalitis.
A3982,Meningococcal retrobulbar neuritis,A medical condition known as meningococcal retrobulbar neuritis.
A3983,Meningococcal arthritis,A medical condition known as meningococcal arthritis.
A3984,Postmeningococcal arthritis,A medical condition known as postmeningococcal arthritis.
A3989,Other meningococcal infections,A medical condition known as other meningococcal infections.
A399,"Meningococcal infection, unspecified","A medical condition known as meningococcal infection, unspecified."
A400,"Sepsis due to streptococcus, group A","A medical condition known as sepsis due to streptococcus, group a."
A401,"Sepsis due to streptococcus, group B","A medical condition known as sepsis due to streptococcus, group b."
A403,Sepsis due to Streptococcus pneumoniae,A medical condition known as sepsis due to streptococcus pneumoniae.
A408,Other streptococcal sepsis,A medical condition known as other streptococcal sepsis.
A409,"Streptococcal sepsis, unspecified","A medical condition known as streptococcal sepsis, unspecified."
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,A medical condition known as sepsis due to methicillin susceptible staphylococcus aureus.
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,A medical condition known as sepsis due to methicillin resistant staphylococcus aureus.
A411,Sepsis due to other specified staphylococcus,A medical condition known as sepsis due to other specified staphylococcus.
A412,Sepsis due to unspecified staphylococcus,A medical condition known as sepsis due to unspecified staphylococcus.
A413,Sepsis due to Hemophilus influenzae,A medical condition known as sepsis due to hemophilus influenzae.
A414,Sepsis due to anaerobes,A medical condition known as sepsis due to anaerobes.
A4150,"Gram-negative sepsis, unspecified","A medical condition known as gram-negative sepsis, unspecified."
A4151,Sepsis due to Escherichia coli [E. coli],A medical condition known as sepsis due to escherichia coli [e. coli].
A4152,Sepsis due to Pseudomonas,A medical condition known as sepsis due to pseudomonas.
A4153,Sepsis due to Serratia,A medical condition known as sepsis due to serratia.
A4159,Other Gram-negative sepsis,A medical condition known as other gram-negative sepsis.
A4181,Sepsis due to Enterococcus,A medical condition known as sepsis due to enterococcus.
A4189,Other specified sepsis,A medical condition known as other specified sepsis.
A419,"Sepsis, unspecified organism","A medical condition known as sepsis, unspecified organism."
A422,Cervicofacial actinomycosis,A medical condition known as cervicofacial actinomycosis.
A427,Actinomycotic sepsis,A medical condition known as actinomycotic sepsis.
A4281,Actinomycotic meningitis,A medical condition known as actinomycotic meningitis.
A4282,Actinomycotic encephalitis,A medical condition known as actinomycotic encephalitis.
A4289,Other forms of actinomycosis,A medical condition known as other forms of actinomycosis.
A429,"Actinomycosis, unspecified","A medical condition known as actinomycosis, unspecified."
A430,"Pulmonary nocardiosis",A medical condition known as pulmonary nocardiosis.
A431,Cutaneous nocardiosis,A medical condition known as cutaneous nocardiosis.
A438,Other forms of nocardiosis,A medical condition known as other forms of nocardiosis.
A439,"Nocardiosis, unspecified","A medical condition known as nocardiosis, unspecified."
A440,Systemic bartonellosis,A medical condition known as systemic bartonellosis.
A441,Cutaneous and mucocutaneous bartonellosis,A medical condition known as cutaneous and mucocutaneous bartonellosis.
A448,Other forms of bartonellosis,A medical condition known as other forms of bartonellosis.
A449,"Bartonellosis, unspecified","A medical condition known as bartonellosis, unspecified."
A46,Erysipelas,A medical condition known as erysipelas.
A480,Gas gangrene,A medical condition known as gas gangrene.
A481,Legionnaires' disease,A medical condition known as legionnaires' disease.
A482,Nonpneumonic Legionnaires' disease [Pontiac fever],A medical condition known as nonpneumonic legionnaires' disease [pontiac fever].
A483,Toxic shock syndrome,A medical condition known as toxic shock syndrome.
A484,Brazilian purpuric fever,A medical condition known as brazilian purpuric fever.
A4851,Infant botulism,A medical condition known as infant botulism.
A4852,Wound botulism,A medical condition known as wound botulism.
A488,Other specified bacterial diseases,A medical condition known as other specified bacterial diseases.
A4901,"Methicillin susceptible Staphylococcus aureus infection, unsp","A medical condition known as methicillin susceptible staphylococcus aureus infection, unsp."
A4902,"Methicillin resistant Staphylococcus aureus infection, unspeci","A medical condition known as methicillin resistant staphylococcus aureus infection, unspeci."
A491,"Streptococcal infection, unspecified site","A medical condition known as streptococcal infection, unspecified site."
A492,"Hemophilus influenzae infection, unspecified site","A medical condition known as hemophilus influenzae infection, unspecified site."
A499,"Bacterial infection, unspecified","A medical condition known as bacterial infection, unspecified."
A5001,Early congenital syphilitic oculopathy,A medical condition known as early congenital syphilitic oculopathy.
A5002,Early congenital syphilitic osteochondropathy,A medical condition known as early congenital syphilitic osteochondropathy.
A5003,Early congenital syphilitic pharyngitis,A medical condition known as early congenital syphilitic pharyngitis.
A5004,Early congenital syphilitic pneumonia,A medical condition known as early congenital syphilitic pneumonia.
A5005,Early congenital syphilitic rhinitis,A medical condition known as early congenital syphilitic rhinitis.
A5006,Early cutaneous congenital syphilis,A medical condition known as early cutaneous congenital syphilis.
A5007,Early mucocutaneous congenital syphilis,A medical condition known as early mucocutaneous congenital syphilis.
A5008,Early visceral congenital syphilis,A medical condition known as early visceral congenital syphilis.
A5009,"Other early congenital syphilis, symptomatic","A medical condition known as other early congenital syphilis, symptomatic."
A501,"Early congenital syphilis, latent","A medical condition known as early congenital syphilis, latent."
A502,"Early congenital syphilis, unspecified","A medical condition known as early congenital syphilis, unspecified."
A5030,"Late congenital syphilitic oculopathy, unspecified","A medical condition known as late congenital syphilitic oculopathy, unspecified."
A5031,Late congenital syphilitic interstitial keratitis,A medical condition known as late congenital syphilitic interstitial keratitis.
A5032,Late congenital syphilitic chorioretinitis,A medical condition known as late congenital syphilitic chorioretinitis.
A5039,Other late congenital syphilitic oculopathy,A medical condition known as other late congenital syphilitic oculopathy.
A5040,"Late congenital neurosyphilis, unspecified","A medical condition known as late congenital neurosyphilis, unspecified."
A5041,Late congenital syphilitic meningitis,A medical condition known as late congenital syphilitic meningitis.
A5042,Late congenital syphilitic encephalitis,A medical condition known as late congenital syphilitic encephalitis.
A5043,Late congenital syphilitic polyneuropathy,A medical condition known as late congenital syphilitic polyneuropathy.
A5044,Late congenital syphilitic optic nerve atrophy,A medical condition known as late congenital syphilitic optic nerve atrophy.
A5045,Juvenile general paresis,A medical condition known as juvenile general paresis.
A5049,Other late congenital neurosyphilis,A medical condition known as other late congenital neurosyphilis.
A5051,Clutton's joints,A medical condition known as clutton's joints.
A5052,Hutchinson's teeth,A medical condition known as hutchinson's teeth.
A5053,Hutchinson's triad,A medical condition known as hutchinson's triad.
A5054,Late congenital cardiovascular syphilis,A medical condition known as late congenital cardiovascular syphilis.
A5057,Syphilitic saddle nose,A medical condition known as syphilitic saddle nose.
A5059,"Other late congenital syphilis, symptomatic","A medical condition known as other late congenital syphilis, symptomatic."
A506,"Late congenital syphilis, latent","A medical condition known as late congenital syphilis, latent."
A507,"Late congenital syphilis, unspecified","A medical condition known as late congenital syphilis, unspecified."
A509,"Congenital syphilis, unspecified","A medical condition known as congenital syphilis, unspecified."
A510,Primary genital syphilis,A medical condition known as primary genital syphilis.
A511,Primary anal syphilis,A medical condition known as primary anal syphilis.
A512,Primary syphilis of other sites,A medical condition known as primary syphilis of other sites.
A5131,Condyloma latum,A medical condition known as condyloma latum.
A5132,Syphilitic alopecia,A medical condition known as syphilitic alopecia.
A5139,Other secondary syphilis of skin,A medical condition known as other secondary syphilis of skin.
A5141,Secondary syphilitic meningitis,A medical condition known as secondary syphilitic meningitis.
A5142,Secondary syphilitic female pelvic disease,A medical condition known as secondary syphilitic female pelvic disease.
A5143,Secondary syphilitic oculopathy,A medical condition known as secondary syphilitic oculopathy.
A5144,Secondary syphilitic nephritis,A medical condition known as secondary syphilitic nephritis.
A5145,Secondary syphilitic hepatitis,A medical condition known as secondary syphilitic hepatitis.
A5146,Secondary syphilitic osteopathy,A medical condition known as secondary syphilitic osteopathy.
A5149,Other secondary syphilitic conditions,A medical condition known as other secondary syphilitic conditions.
A515,"Early syphilis, latent","A medical condition known as early syphilis, latent."
A519,"Early syphilis, unspecified","A medical condition known as early syphilis, unspecified."
A5200,"Cardiovascular syphilis, unspecified","A medical condition known as cardiovascular syphilis, unspecified."
A5201,Syphilitic aneurysm of aorta,A medical condition known as syphilitic aneurysm of aorta.
A5202,Syphilitic aortitis,A medical condition known as syphilitic aortitis.
A5203,Syphilitic endocarditis,A medical condition known as syphilitic endocarditis.
A5204,Syphilitic cerebral arteritis,A medical condition known as syphilitic cerebral arteritis.
A5205,Other cerebrovascular syphilis,A medical condition known as other cerebrovascular syphilis.
A5206,Other syphilitic heart involvement,A medical condition known as other syphilitic heart involvement.
A5211,Tabes dorsalis,A medical condition known as tabes dorsalis.
A5212,Other cerebrospinal syphilis,A medical condition known as other cerebrospinal syphilis.
A5213,Late syphilitic meningitis,A medical condition known as late syphilitic meningitis.
A5214,Late syphilitic encephalitis,A medical condition known as late syphilitic encephalitis.
A5215,Late syphilitic neuropathy,A medical condition known as late syphilitic neuropathy.
A5216,Charcot's arthropathy (tabetic),A medical condition known as charcot's arthropathy (tabetic).
A5217,General paresis,A medical condition known as general paresis.
A5219,Other symptomatic neurosyphilis,A medical condition known as other symptomatic neurosyphilis.
A522,Asymptomatic neurosyphilis,A medical condition known as asymptomatic neurosyphilis.
A523,"Neurosyphilis, unspecified","A medical condition known as neurosyphilis, unspecified."
A5271,Late syphilitic oculopathy,A medical condition known as late syphilitic oculopathy.
A5272,Syphilis of lung and bronchus,A medical condition known as syphilis of lung and bronchus.
A5273,Symptomatic late syphilis of other respiratory organs,A medical condition known as symptomatic late syphilis of other respiratory organs.
A5274,Syphilis of liver and other viscera,A medical condition known as syphilis of liver and other viscera.
A5275,Syphilis of kidney and ureter,A medical condition known as syphilis of kidney and ureter.
A5276,Other genitourinary symptomatic late syphilis,A medical condition known as other genitourinary symptomatic late syphilis.
A5277,Syphilis of bone and joint,A medical condition known as syphilis of bone and joint.
A5278,Syphilis of other musculoskeletal tissue,A medical condition known as syphilis of other musculoskeletal tissue.
A5279,Other symptomatic late syphilis,A medical condition known as other symptomatic late syphilis.
A528,"Late syphilis, latent","A medical condition known as late syphilis, latent."
A529,"Late syphilis, unspecified","A medical condition known as late syphilis, unspecified."
A530,"Latent syphilis, unspecified as early or late","A medical condition known as latent syphilis, unspecified as early or late."
A539,"Syphilis, unspecified","A medical condition known as syphilis, unspecified."
A5400,"Gonococcal infection of lower genitourinary tract, unspecified","A medical condition known as gonococcal infection of lower genitourinary tract, unspecified."
A5401,"Gonococcal cystitis and urethritis, unspecified","A medical condition known as gonococcal cystitis and urethritis, unspecified."
A5402,"Gonococcal vulvovaginitis, unspecified","A medical condition known as gonococcal vulvovaginitis, unspecified."
A5403,"Gonococcal cervicitis, unspecified","A medical condition known as gonococcal cervicitis, unspecified."
A5421,Gonococcal infection of kidney and ureter,A medical condition known as gonococcal infection of kidney and ureter.
A5422,Gonococcal prostatitis,A medical condition known as gonococcal prostatitis.
A5423,Gonococcal infection of other male genital organs,A medical condition known as gonococcal infection of other male genital organs.
A5424,Gonococcal female pelvic inflammatory disease,A medical condition known as gonococcal female pelvic inflammatory disease.
A5429,Other gonococcal genitourinary infections,A medical condition known as other gonococcal genitourinary infections.
A5430,"Gonococcal infection of eye, unspecified","A medical condition known as gonococcal infection of eye, unspecified."
A5431,Gonococcal conjunctivitis,A medical condition known as gonococcal conjunctivitis.
A5432,Gonococcal iridocyclitis,A medical condition known as gonococcal iridocyclitis.
A5433,Gonococcal keratitis,A medical condition known as gonococcal keratitis.
A5439,Other gonococcal eye infection,A medical condition known as other gonococcal eye infection.
A5440,"Gonococcal infection of musculoskeletal system, unspecified","A medical condition known as gonococcal infection of musculoskeletal system, unspecified."
