code,name,description
A8019,Condition related to Cholera,This condition is related to condition related to cholera.
A9447,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4708,Condition related to Influenza,This condition is related to condition related to influenza.
A5080,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1912,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7535,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4571,Condition related to Influenza,This condition is related to condition related to influenza.
A7396,Condition related to Meningitis,This condition is related to condition related to meningitis.
A6392,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4091,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5980,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A3543,Condition related to Meningitis,This condition is related to condition related to meningitis.
A9097,Condition related to Cholera,This condition is related to condition related to cholera.
A8250,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9888,Condition related to Influenza,This condition is related to condition related to influenza.
A3845,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1303,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5281,Condition related to Influenza,This condition is related to condition related to influenza.
A4668,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9929,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8324,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A4057,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A1514,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8190,Condition related to Influenza,This condition is related to condition related to influenza.
A7041,Condition related to Influenza,This condition is related to condition related to influenza.
A8956,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2411,Condition related to Influenza,This condition is related to condition related to influenza.
A5843,Condition related to Cholera,This condition is related to condition related to cholera.
A2468,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6174,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6266,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1244,Condition related to Cholera,This condition is related to condition related to cholera.
A3906,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4753,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1471,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8441,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7590,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4734,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5504,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9923,Condition related to Influenza,This condition is related to condition related to influenza.
A1299,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7177,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1916,Condition related to Influenza,This condition is related to condition related to influenza.
A6906,Condition related to Influenza,This condition is related to condition related to influenza.
A7728,Condition related to Cholera,This condition is related to condition related to cholera.
A3865,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5987,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8185,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1090,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1039,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6078,Condition related to Cholera,This condition is related to condition related to cholera.
A6472,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5675,Condition related to Cholera,This condition is related to condition related to cholera.
A7406,Condition related to Cholera,This condition is related to condition related to cholera.
A5713,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4449,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6636,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1455,Condition related to Influenza,This condition is related to condition related to influenza.
A4028,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A2736,Condition related to Cholera,This condition is related to condition related to cholera.
A5625,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9858,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7073,Condition related to Influenza,This condition is related to condition related to influenza.
A9243,Condition related to Cholera,This condition is related to condition related to cholera.
A7271,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1901,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4139,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3388,Condition related to Cholera,This condition is related to condition related to cholera.
A7444,Condition related to Influenza,This condition is related to condition related to influenza.
A5694,Condition related to Cholera,This condition is related to condition related to cholera.
A6449,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A9039,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6109,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8058,Condition related to Cholera,This condition is related to condition related to cholera.
A4843,Condition related to Influenza,This condition is related to condition related to influenza.
A9072,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A8011,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7074,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A3999,Condition related to Meningitis,This condition is related to condition related to meningitis.
A3558,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A1179,Condition related to Meningitis,This condition is related to condition related to meningitis.
A8746,Condition related to Cholera,This condition is related to condition related to cholera.
A4203,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6032,Condition related to Influenza,This condition is related to condition related to influenza.
A8640,Condition related to Meningitis,This condition is related to condition related to meningitis.
A2740,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A2142,Condition related to Meningitis,This condition is related to condition related to meningitis.
A9173,Condition related to Influenza,This condition is related to condition related to influenza.
A3698,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A3722,Condition related to Cholera,This condition is related to condition related to cholera.
A4274,Condition related to Cholera,This condition is related to condition related to cholera.
A5665,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A4848,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A5039,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A6598,Condition related to Cholera,This condition is related to condition related to cholera.
A7650,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5896,Condition related to Influenza,This condition is related to condition related to influenza.
A3929,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A9530,Condition related to Cholera,This condition is related to condition related to cholera.
A7710,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7033,Condition related to Cholera,This condition is related to condition related to cholera.
A8367,Condition related to Influenza,This condition is related to condition related to influenza.
A7201,Condition related to Cholera,This condition is related to condition related to cholera.
A8265,Condition related to Meningitis,This condition is related to condition related to meningitis.
A5908,Condition related to Influenza,This condition is related to condition related to influenza.
A7455,Condition related to Influenza,This condition is related to condition related to influenza.
A3606,Condition related to Influenza,This condition is related to condition related to influenza.
A3638,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A7215,Condition related to Influenza,This condition is related to condition related to influenza.
A8168,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1908,Condition related to Influenza,This condition is related to condition related to influenza.
A6556,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A2709,Condition related to Meningitis,This condition is related to condition related to meningitis.
A1397,Condition related to Influenza,This condition is related to condition related to influenza.
A7220,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A7677,Condition related to Cholera,This condition is related to condition related to cholera.
A3676,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5700,Condition related to Hepatitis,This condition is related to condition related to hepatitis.
A3652,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A5543,Condition related to Meningitis,This condition is related to condition related to meningitis.
A4826,Condition related to Typhoid fever,This condition is related to condition related to typhoid fever.
A6672,Condition related to Influenza,This condition is related to condition related to influenza.
A3588,Condition related to Meningitis,This condition is related to condition related to meningitis.
A7149,Condition related to Influenza,This condition is related to condition related to influenza.
A3086,Condition related to Influenza,This condition is related to condition related to influenza.
A9222,Condition related to Influenza,This condition is related to condition related to influenza.
A1862,Condition related to Influenza,This condition is related to condition related to influenza.
